slug,name_en,name_he,desc_en,desc_he,keywords,icon,google_category
eyelash-serum,Eyelash Serum,סרום ריסים,Eyelash growth serums for longer fuller lashes,סרומים לצמיחת ריסים לריסים ארוכים ומלאים יותר,eyelash growth serum|eyebrow growth serum|lash conditioning|lash primer|lash lift kit,run,469
eco-beauty,Eco Beauty,יופי אקולוגי,Sustainable and eco-friendly beauty products for a greener routine,מוצרי יופי ברי קיימא וידידותיים לסביבה לשגרה ירוקה יותר,reusable makeup pads|bamboo toothbrush|biodegradable loofah|shampoo bar|safety razor set,backpack,469
spa-at-home,Home Spa,ספא ביתי,Create a luxurious spa experience at home,צרו חוויית ספא יוקרתית בבית,face steamer|foot spa massager|bath pillow|body brush|spa robe,lamp,469
sleep-beauty,Sleep & Beauty,שינה ויופי,Beauty products for your nighttime routine for overnight radiance,מוצרי יופי לשגרת הלילה לזוהר בזמן השינה,silk pillowcase|sleep mask silk|satin hair bonnet|night cream|sleeping pack,sun,469
facial-cleansing,Facial Cleansing,ניקוי פנים,Deep cleansing tools and products for a clear complexion,כלי ניקוי עמוק ומוצרים לעור נקי וצלול,facial cleansing brush|oil cleanser|foaming cleanser|micellar water|double cleansing set,mask,469
ipl-hair-removal,IPL Hair Removal,הסרת שיער IPL,Professional IPL devices for permanent hair reduction at home,מכשירי IPL מקצועיים להפחתת שיער קבועה בבית,IPL device|flash cartridge|safety goggles|cooling gel|precision cap,bulb,469
beauty-supplements,Beauty Supplements,תוספי יופי,Supplements for hair skin and nail health from within,תוספי תזונה לשיער עור וציפורניים מבפנים,collagen powder|biotin gummies|vitamin C gummies|hair skin nails vitamins|marine collagen,sun,469
tanning-bronzing,Tanning & Bronzing,שיזוף ושיזוף מלאכותי,Self-tanning products and bronzers for a sun-kissed glow,מוצרי שיזוף עצמי ומברונזרים לגוון שזוף,self tanner mousse|tanning drops|bronzing powder|tanning mitt|gradual tan lotion,sun,469
body-butter,Body Butter,חמאת גוף,Rich body butters and lotions for deep moisturization,חמאות גוף עשירות ותחליבים ללחות עמוקה,body butter cocoa|shea body cream|body lotion dry skin|whipped body butter|body oil,run,469
fragrance-oils,Fragrance Body Oils,שמני גוף ריחניים,Perfumed body oils for silky scented skin,שמני גוף מבושמים לעור משיי וריחני,fragrance body oil|perfume oil roll-on|scented body lotion|massage oil|body shimmer oil,run,469
